date,action,persons,sub-category,category,memo,remarks
2016-03-04,협동조합 설립추진위원회 구성,,설립,조직,"이광우, 장인기, 지각생, 에뭉이",
2016-05-18,예비협동조합 밀착지원 멘토링 시작,,설립,조직,한겨레두레협동조합 김경환 상임이사,
2016-05-27,발기인대회,,설립,조직,"37명 참석, 미래청 스페이스류",3
2016-06-07,50플러스캠퍼스 사무실 입주,,설립,조직,서부50+ 2층 <스페이스힘나> 1-1,
2016-06-10,비영리 웹제작자 1차 모임,,설립,조직,"신림동, 5명 참석",1
2016-06-17,정관 소위원회 1차 회의,,설립,조직,"박상준, 홍영택, 사무국4",1
2016-07-06,사업계획예산소위원회 1차 회의,,설립,조직,,
2016-08-05,설립추진위 전체 회의,,설립,조직,"정지훈, 홍영택, 사무국4",
2016-08-22,임시 사이트 개설,지각생,설립,조직,http://ictact.kr,
2016-09-19,보현데이케어센터 PC 정비,에뭉이,,IT인프라,,
2016-09-22,도심권 50+ 캠퍼스 PC 정비,에뭉이,,IT인프라,,
2016-09-23,신길종합사회복지관 PC 정비,에뭉이,SC다빈,IT인프라,,
2016-09-25,노동자협동조합 설계 모임,,설립,조직,"신현나, 홍영택, 사무국4",
2016-10-01,노동자협동조합 설립 자문 회의,,설립,조직,노무법인 의연 서종식 노무사,
2016-10-09,구글 G suite 생성 : ictact.kr,지각생,설립,조직,"ictact, office, data @ictact.kr 생성",
2016-10-10,꿈터지역아동센터 (성북구) PC정비,에뭉이,IT서포터즈,IT인프라,,
2016-10-10,아름다운 지역아동센터 (마천) PC정비,에뭉이,IT서포터즈,IT인프라,,
2016-10-10,나눔과미래 GA설치,류자현,,홈페이지,,
2016-10-11,50+ IT유지보수교육,에뭉이,교육,조직,서부50+캠퍼스,
2016-10-12,SC다빈 종로구 건강가정지원센터,에뭉이,SC다빈,IT인프라,,
2016-10-12,한국중앙자원봉사센터 PC정비,"에뭉이, 태공",IT서포터즈,IT인프라,,
2016-10-12,건강사회를위한약사회 GA설치,류자현,,홈페이지,,
2016-10-13,민족문제연구소 서버관리 교육,지각생,교육,IT인프라,,
2016-10-13,은평노동자컴퓨터교실,"지각생, 에뭉이",교육,지역,,3
2016-10-13,50+ IT유지보수교육,에뭉이,교육,조직,,
2016-10-14,은평상상허브 교육,에뭉이,IT서포터즈,IT인프라,,
2016-10-14,백남기대책위 홈피 미팅,류자현,제작,홈페이지,,
2016-10-17,꿈터지역아동센터 (성북구) PC정비,,IT서포터즈,IT인프라,,
2016-10-18,50+ IT유지보수교육(네트워크),지각생,교육,조직,서부50+캠퍼스,
2016-10-19,처음엑셀회계 1.6 교육 - 두물머리활짝협동조합,지각생,교육,처음엑셀회계,,3
2016-10-20,50+ IT유지보수교육(네트워크),지각생,교육,조직,서부50+캠퍼스,
2016-10-20,은평노동자컴퓨터교실,,교육,지역,,3
2016-10-21,에듀머니 PC정비,에뭉이,IT서포터즈,IT인프라,,
2016-10-23,창립총회 개최 공고,,설립,조직,,
2016-10-24,비정규노동센터 PC정비,"지각생, 에뭉이",IT서포터즈,IT인프라,,
2016-10-25,50+ IT유지보수교육 종강,장인기,교육,조직,,
2016-10-26,총회자료집 완성 & 인쇄,지각생,설립,조직,신현나,
2016-10-26,인권운동사랑방 PC정비,에뭉이,IT서포터즈,IT인프라,,
2016-10-27,은평노동자컴퓨터교실 10기,지각생,교육,지역,,
